AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US08075,"Logan County, Colorado",16.8,19.5
0500000US08077,"Mesa County, Colorado",16,18.6
0500000US08079,"Mineral County, Colorado",12,36.8
0500000US08081,"Moffat County, Colorado",10.1,14.9
0500000US08083,"Montezuma County, Colorado",16.8,22.3
0500000US08085,"Montrose County, Colorado",17.8,23.5
0500000US08087,"Morgan County, Colorado",9.3,16.7
0500000US08089,"Otero County, Colorado",22.9,22.1
0500000US08091,"Ouray County, Colorado",10.4,26.5
0500000US08093,"Park County, Colorado",6.6,20.1
0500000US08095,"Phillips County, Colorado",8.1,17.5
0500000US08097,"Pitkin County, Colorado",7.1,15.6
0500000US08099,"Prowers County, Colorado",18.3,18.2
0500000US08101,"Pueblo County, Colorado",19.8,20.5
0500000US08103,"Rio Blanco County, Colorado",11.8,13.1
0500000US08105,"Rio Grande County, Colorado",18.1,20.1
0500000US08107,"Routt County, Colorado",10.7,14.4
0500000US08109,"Saguache County, Colorado",21,23.7
0500000US08111,"San Juan County, Colorado",3.3,17.8
0500000US08113,"San Miguel County, Colorado",10.5,12.4
0500000US08115,"Sedgwick County, Colorado",17,27.5
0500000US08117,"Summit County, Colorado",10.3,11.6
0500000US08119,"Teller County, Colorado",7.5,22.2
0500000US08121,"Washington County, Colorado",9.9,20.8
0500000US08123,"Weld County, Colorado",11.2,12.7
0500000US08125,"Yuma County, Colorado",14.3,18.6
0500000US09001,"Fairfield County, Connecticut",8.8,15
0500000US09003,"Hartford County, Connecticut",11.2,17.4
0500000US09005,"Litchfield County, Connecticut",6.8,20.4
0500000US09007,"Middlesex County, Connecticut",7.2,18.9
0500000US09009,"New Haven County, Connecticut",12.1,17.3
0500000US09011,"New London County, Connecticut",9.9,18.6
0500000US09013,"Tolland County, Connecticut",6.5,15.5
0500000US09015,"Windham County, Connecticut",11.1,17.2
0500000US10001,"Kent County, Delaware",13,18.6
0500000US10003,"New Castle County, Delaware",11.9,15.8
